1650985517.620379, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15541216 lastrcv:15541216 lastack:15541216 unacked:1 rcv_ssthresh:42340
1650985517.644020, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15541236 lastrcv:15541236 lastack:15541236 unacked:1 rcv_ssthresh:42340
1650985517.663331, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15541256 lastrcv:15541256 lastack:15541256 unacked:1 rcv_ssthresh:42340
1650985517.680145, 	 reno wscale:8,9 rto:248 rtt:46.401/23.2 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.5Mbps lastsnd:24 lastrcv:28 lastack:28 pacing_rate 5.0Mbps delivered:1 busy:24ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:46.401
1650985517.720287, 	 reno wscale:8,9 rto:248 rtt:45.958/7.478 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 5.0Mbps lastrcv:56 pacing_rate 10.1Mbps delivery_rate 2.3Mbps delivered:11 app_limited busy:52ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:38.04
1650985517.741551, 	 reno wscale:8,9 rto:236 rtt:34.99/8.933 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 bytes_sent:72400 bytes_acked:28961 segs_out:52 segs_in:11 data_segs_out:50 send 9.9Mbps lastsnd:4 lastrcv:76 lastack:4 pacing_rate 19.9Mbps delivery_rate 3.6Mbps delivered:21 busy:72ms unacked:30 rcv_space:14480 rcv_ssthresh:42242 notsent:37648 minrtt:21.784
1650985517.764176, 	 reno wscale:8,9 rto:232 rtt:30.841/3.741 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:46 bytes_sent:118736 bytes_acked:52129 segs_out:84 segs_in:19 data_segs_out:82 send 17.3Mbps lastsnd:4 lastrcv:96 lastack:4 pacing_rate 34.6Mbps delivery_rate 9.0Mbps delivered:37 busy:92ms unacked:46 rcv_space:14480 rcv_ssthresh:42242 notsent:320008 minrtt:21.784
1650985517.781013, 	 reno wscale:8,9 rto:236 rtt:32.821/3.559 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:62 bytes_sent:162176 bytes_acked:75297 segs_out:114 segs_in:27 data_segs_out:112 send 21.9Mbps lastrcv:112 pacing_rate 43.8Mbps delivery_rate 9.4Mbps delivered:53 busy:108ms unacked:60 rcv_space:14480 rcv_ssthresh:42242 notsent:276568 minrtt:21.784
1650985517.799530, 	 reno wscale:8,9 rto:240 rtt:37.505/5.703 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:74 bytes_sent:199824 bytes_acked:92673 segs_out:140 segs_in:33 data_segs_out:138 send 22.9Mbps lastsnd:4 lastrcv:132 lastack:4 pacing_rate 45.7Mbps delivery_rate 10.0Mbps delivered:65 busy:128ms unacked:74 rcv_space:14480 rcv_ssthresh:42242 notsent:499560 minrtt:21.784
1650985517.818071, 	 reno wscale:8,9 rto:248 rtt:47.084/8.386 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:92 bytes_sent:251952 bytes_acked:118737 segs_out:176 segs_in:42 data_segs_out:174 send 22.6Mbps lastrcv:148 pacing_rate 45.3Mbps delivery_rate 9.7Mbps delivered:83 busy:144ms unacked:92 rcv_space:14480 rcv_ssthresh:42242 notsent:447432 minrtt:21.784
1650985517.835238, 	 reno wscale:8,9 rto:256 rtt:53.427/10.166 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:107 bytes_sent:295392 bytes_acked:140457 segs_out:206 segs_in:47 data_segs_out:204 send 23.2Mbps lastrcv:168 pacing_rate 46.4Mbps delivery_rate 9.6Mbps delivered:98 busy:164ms unacked:107 rcv_space:14480 rcv_ssthresh:42242 notsent:403992 minrtt:21.784
