	1650985603.682990 	41.1 
0.150060 	1650985603.833050 	89.9 
0.199260 	1650985604.032310 	315.0 
0.422250 	1650985604.454560 	757.0 
0.865460 	1650985605.320020 	560.0 
0.672620 	1650985605.992640 	320.0 
10.543050 	1650985616.535690 	220.0 
0.327890 	1650985616.863580 	218.0 
0.326670 	1650985617.190250 	234.0 
0.342210 	1650985617.532460 	219.0 
0.327700 	1650985617.860160 	232.0 
0.340730 	1650985618.200890 	229.0 
0.338760 	1650985618.539650 	240.0 
0.348770 	1650985618.888420 	230.0 
0.338090 	1650985619.226510 	247.0 
0.357460 	1650985619.583970 	234.0 
0.341050 	1650985619.925020 	237.0 
0.342240 	1650985620.267260 	241.0 
0.354750 	1650985620.622010 	239.0 
0.347580 	1650985620.969590 	248.0 
0.355100 	1650985621.324690 	240.0 
0.346250 	1650985621.670940 	253.0 
0.364950 	1650985622.035890 	250.0 
0.360310 	1650985622.396200 	248.0 
0.357240 	1650985622.753440 	250.0 
0.356410 	1650985623.109850 	252.0 
0.357850 	1650985623.467700 	262.0 
0.370460 	1650985623.838160 	257.0 
0.366420 	1650985624.204580 	261.0 
0.370750 	1650985624.575330 	257.0 
0.366810 	1650985624.942140 	266.0 
0.374700 	1650985625.316840 	264.0 
0.372390 	1650985625.689230 	270.0 
0.377930 	1650985626.067160 	264.0 
0.371500 	1650985626.438660 	274.0 
0.382870 	1650985626.821530 	273.0 
0.379920 	1650985627.201450 	268.0 
0.377670 	1650985627.579120 	273.0 
0.380880 	1650985627.960000 	275.0 
0.384850 	1650985628.344850 	277.0 
0.383670 	1650985628.728520 	275.0 
0.381790 	1650985629.110310 	309.0 
0.419940 	1650985629.530250 	290.0 
0.395760 	1650985629.926010 	286.0 
0.393270 	1650985630.319280 	284.0 
0.392420 	1650985630.711700 	283.0 
0.392280 	1650985631.103980 	290.0 
0.401780 	1650985631.505760 	290.0 
0.396210 	1650985631.901970 	299.0 
0.406450 	1650985632.308420 	297.0 
0.404120 	1650985632.712540 	301.0 
0.408470 	1650985633.121010 	299.0 
0.407950 	1650985633.528960 	300.0 
0.407450 	1650985633.936410 	306.0 
0.411260 	1650985634.347670 	333.0 
0.439550 	1650985634.787220 	313.0 
0.420160 	1650985635.207380 	308.0 
0.416710 	1650985635.624090 	310.0 
0.415370 	1650985636.039460 	314.0 
0.425790 	1650985636.465250 	309.0 
0.416110 	1650985636.881360 	320.0 
0.427860 	1650985637.309220 	320.0 
0.427420 	1650985637.736640 	312.0 
0.419500 	1650985638.156140 	350.0 
0.464690 	1650985638.620830 	327.0 
0.446050 	1650985639.066880 	351.0 
0.460460 	1650985639.527340 	350.0 
0.462380 	1650985639.989720 	324.0 
0.432500 	1650985640.422220 	325.0 
0.439160 	1650985640.861380 	328.0 
0.434300 	1650985641.295680 	336.0 
0.442270 	1650985641.737950 	333.0 
0.439980 	1650985642.177930 	329.0 
0.436640 	1650985642.614570 	328.0 
0.433640 	1650985643.048210 	338.0 
0.452990 	1650985643.501200 	346.0 
0.453760 	1650985643.954960 	344.0 
0.458100 	1650985644.413060 	343.0 
0.453470 	1650985644.866530 	351.0 
0.458430 	1650985645.324960 	352.0 
0.459850 	1650985645.784810 	346.0 
0.457820 	1650985646.242630 	349.0 
0.459950 	1650985646.702580 	352.0 
0.460810 	1650985647.163390 	350.0 
0.459530 	1650985647.622920 	350.0 
0.460610 	1650985648.083530 	353.0 
0.460670 	1650985648.544200 	357.0 
0.465920 	1650985649.010120 	373.0 
0.480760 	1650985649.490880 	362.0 
0.467800 	1650985649.958680 	369.0 
0.474760 	1650985650.433440 	368.0 
0.473510 	1650985650.906950 	370.0 
0.478590 	1650985651.385540 	371.0 
0.477760 	1650985651.863300 	364.0 
0.472050 	1650985652.335350 	368.0 
0.475200 	1650985652.810550 	377.0 
0.484780 	1650985653.295330 	369.0 
0.477980 	1650985653.773310 	374.0 
0.482100 	1650985654.255410 	377.0 
0.486880 	1650985654.742290 	380.0 
0.486500 	1650985655.228790 	389.0 
0.495860 	1650985655.724650 	383.0 
0.490840 	1650985656.215490 	386.0 
0.491960 	1650985656.707450 	380.0 
0.488120 	1650985657.195570 	375.0 
0.482340 	1650985657.677910 	393.0 
0.500730 	1650985658.178640 	403.0 
0.513960 	1650985658.692600 	388.0 
0.494400 	1650985659.187000 	388.0 
0.494630 	1650985659.681630 	403.0 
